자산번호,자산명,카테고리,부서,사용자,직전사용자,취득일,취득가액,내용연수,상태,폐기일,보험종류,보험갱신일,담당자
A0001,회의실 TV,비품,개발팀,개발팀_사용자1,,2024-01-30,2840000,3,사용중,,,,박자산
A0002,복합기,비품,마케팅팀,마케팅팀_사용자5,,2023-04-19,1220000,3,불용대기,,,,김총무
A0003,회의실 TV,비품,경영지원팀,경영지원팀_사용자1,경영지원팀_사용자3,2025-01-22,2450000,4,사용중,,,,최지원
A0004,복합기,비품,개발팀,개발팀_사용자3,,2022-02-15,1800000,4,폐기완료,2026-04-25,,,박자산
A0005,의자,비품,영업팀,영업팀_사용자1,,2025-04-14,1230000,3,사용중,,,,최지원
A0006,모니터,비품,경영지원팀,경영지원팀_사용자3,,2023-07-08,1520000,4,사용중,,,,최지원
A0007,모니터,비품,경영지원팀,경영지원팀_사용자3,,2023-07-10,880000,3,폐기완료,2026-07-04,,,김총무
A0008,의자,비품,영업팀,영업팀_사용자4,,2022-06-20,2320000,4,불용대기,,,,김총무
A0009,의자,비품,영업팀,영업팀_사용자2,영업팀_사용자1,2024-04-05,1570000,3,사용중,,,,김총무
A0010,복합기,비품,영업팀,영업팀_사용자2,,2026-05-26,2150000,3,사용중,,,,이관리
A0011,복합기,비품,개발팀,개발팀_사용자4,개발팀_사용자1,2024-06-13,2250000,4,사용중,,,,이관리
A0012,사무용 책상,비품,마케팅팀,마케팅팀_사용자5,,2026-04-13,1950000,4,사용중,,,,박자산
A0013,사무용 책상,비품,영업팀,영업팀_사용자2,,2025-05-10,270000,3,사용중,,,,김총무
A0014,노트북 거치대,비품,마케팅팀,마케팅팀_사용자4,,2023-07-17,440000,4,사용중,,,,박자산
A0015,모니터,비품,마케팅팀,마케팅팀_사용자5,,2024-09-14,1540000,3,사용중,,,,최지원
A0016,노트북 거치대,비품,영업팀,영업팀_사용자5,,2023-04-16,580000,3,폐기완료,2026-06-18,,,이관리
A0017,노트북 거치대,비품,마케팅팀,마케팅팀_사용자3,마케팅팀_사용자4,2024-09-23,2040000,3,사용중,,,,이관리
A0018,모니터,비품,개발팀,개발팀_사용자4,개발팀_사용자2,2026-01-09,1010000,4,사용중,,,,이관리
A0019,복합기,비품,마케팅팀,마케팅팀_사용자1,,2024-06-01,520000,4,사용중,,,,이관리
A0020,의자,비품,영업팀,영업팀_사용자4,,2024-02-03,1260000,3,사용중,,,,김총무
A0021,사무용 책상,비품,경영지원팀,경영지원팀_사용자4,,2023-11-15,2560000,4,사용중,,,,김총무
A0022,의자,비품,개발팀,개발팀_사용자5,개발팀_사용자2,2022-07-23,1900000,4,불용대기,,,,김총무
A0023,회의실 TV,비품,개발팀,개발팀_사용자2,,2025-12-26,2720000,3,사용중,,,,김총무
A0024,복합기,비품,경영지원팀,경영지원팀_사용자1,,2025-04-27,1710000,3,사용중,,,,김총무
A0025,모니터,비품,마케팅팀,마케팅팀_사용자1,,2024-04-14,850000,4,사용중,,,,최지원
A0026,사무용 책상,비품,마케팅팀,마케팅팀_사용자2,,2025-04-16,1690000,4,사용중,,,,박자산
A0027,노트북 거치대,비품,개발팀,개발팀_사용자5,,2023-08-27,410000,3,사용중,,,,김총무
A0028,사무용 책상,비품,경영지원팀,경영지원팀_사용자1,,2025-06-29,2540000,3,사용중,,,,최지원
A0029,복합기,비품,개발팀,개발팀_사용자1,,2024-11-05,2930000,3,사용중,,,,김총무
A0030,의자,비품,경영지원팀,경영지원팀_사용자2,,2023-11-23,520000,4,사용중,,,,이관리
A0031,사무용 책상,비품,마케팅팀,마케팅팀_사용자5,,2023-05-17,2070000,3,불용대기,,,,김총무
A0032,의자,비품,마케팅팀,마케팅팀_사용자1,,2025-08-12,1820000,4,사용중,,,,최지원
A0033,의자,비품,영업팀,영업팀_사용자2,,2023-11-05,1170000,3,사용중,,,,김총무
A0034,복합기,비품,개발팀,개발팀_사용자1,,2025-06-13,2030000,4,사용중,,,,이관리
A0035,의자,비품,개발팀,개발팀_사용자1,,2025-11-30,2580000,4,사용중,,,,이관리
A0036,사무용 책상,비품,경영지원팀,경영지원팀_사용자5,,2024-01-21,520000,3,사용중,,,,김총무
A0037,의자,비품,개발팀,개발팀_사용자5,,2023-02-17,2470000,3,폐기완료,2026-03-05,,,최지원
A0038,사무용 책상,비품,마케팅팀,마케팅팀_사용자4,,2025-04-08,830000,4,사용중,,,,최지원
A0039,모니터,비품,마케팅팀,마케팅팀_사용자1,,2026-02-06,690000,4,사용중,,,,김총무
A0040,복합기,비품,개발팀,개발팀_사용자1,,2025-01-23,2010000,4,사용중,,,,박자산
A0041,청소용품,소모품,영업팀,영업팀_사용자2,,2025-10-28,290000,1,사용중,,,,이관리
A0042,토너,소모품,마케팅팀,마케팅팀_사용자1,,2025-05-04,290000,1,폐기완료,2026-07-28,,,최지원
A0043,사무용품세트,소모품,마케팅팀,마케팅팀_사용자4,,2026-05-04,210000,1,사용중,,,,박자산
A0044,커피머신 소모품,소모품,개발팀,개발팀_사용자2,,2026-03-10,90000,1,사용중,,,,김총무
A0045,커피머신 소모품,소모품,경영지원팀,경영지원팀_사용자1,경영지원팀_사용자3,2025-03-31,160000,1,폐기완료,2026-05-13,,,박자산
A0046,토너,소모품,마케팅팀,마케팅팀_사용자1,,2026-03-18,160000,1,사용중,,,,최지원
A0047,사무용품세트,소모품,마케팅팀,마케팅팀_사용자2,,2025-10-11,180000,1,사용중,,,,최지원
A0048,토너,소모품,경영지원팀,경영지원팀_사용자4,,2025-10-13,100000,1,사용중,,,,이관리
A0049,사무용품세트,소모품,영업팀,영업팀_사용자2,,2026-01-29,250000,1,사용중,,,,최지원
A0050,청소용품,소모품,영업팀,영업팀_사용자3,영업팀_사용자5,2025-05-17,260000,1,폐기완료,2026-07-05,,,김총무
A0051,청소용품,소모품,영업팀,영업팀_사용자3,,2025-08-30,40000,1,사용중,,,,박자산
A0052,청소용품,소모품,마케팅팀,마케팅팀_사용자4,,2025-01-20,240000,1,불용대기,,,,김총무
A0053,커피머신 소모품,소모품,마케팅팀,마케팅팀_사용자1,,2025-06-30,200000,1,폐기완료,2026-07-14,,,김총무
A0054,커피머신 소모품,소모품,경영지원팀,경영지원팀_사용자3,,2025-11-24,260000,1,사용중,,,,이관리
A0055,토너,소모품,경영지원팀,경영지원팀_사용자1,,2025-05-08,280000,1,폐기완료,2026-07-21,,,김총무
A0056,토너,소모품,경영지원팀,경영지원팀_사용자3,,2025-02-03,120000,1,불용대기,,,,김총무
A0057,토너,소모품,마케팅팀,마케팅팀_사용자1,마케팅팀_사용자5,2026-05-04,110000,1,사용중,,,,박자산
A0058,사무용품세트,소모품,경영지원팀,경영지원팀_사용자2,,2026-03-10,190000,1,사용중,,,,최지원
A0059,커피머신 소모품,소모품,마케팅팀,마케팅팀_사용자2,,2026-05-17,230000,1,사용중,,,,최지원
A0060,청소용품,소모품,영업팀,영업팀_사용자4,영업팀_사용자2,2025-12-01,40000,1,사용중,,,,박자산
A0061,토너,소모품,영업팀,영업팀_사용자3,,2026-05-23,240000,1,사용중,,,,이관리
A0062,커피머신 소모품,소모품,개발팀,개발팀_사용자4,,2026-05-18,230000,1,사용중,,,,이관리
A0063,청소용품,소모품,마케팅팀,마케팅팀_사용자4,마케팅팀_사용자2,2025-12-10,70000,1,사용중,,,,이관리
A0064,청소용품,소모품,경영지원팀,경영지원팀_사용자5,,2025-08-03,120000,1,사용중,,,,최지원
A0065,사무용품세트,소모품,개발팀,개발팀_사용자3,,2026-03-21,100000,1,사용중,,,,박자산
A0066,생산설비 A,고정자산,마케팅팀,마케팅팀_사용자2,,2022-04-20,21000000,8,사용중,,화재보험,2027-05-20,박자산
A0067,생산설비 A,고정자산,영업팀,영업팀_사용자2,,2024-09-11,4190000,7,사용중,,화재보험,2026-09-12,이관리
A0068,공조설비,고정자산,마케팅팀,마케팅팀_사용자1,,2021-09-20,40140000,8,사용중,,화재보험,2026-12-31,이관리
A0069,생산설비 A,고정자산,개발팀,개발팀_사용자2,,2025-08-03,73120000,7,사용중,,배상책임보험,2026-10-19,최지원
A0070,생산설비 A,고정자산,개발팀,개발팀_사용자1,,2022-06-16,64700000,8,사용중,,화재보험,2026-08-05,최지원
A0071,생산설비 A,고정자산,마케팅팀,마케팅팀_사용자2,,2025-03-19,26970000,7,사용중,,배상책임보험,2026-08-15,이관리
A0072,생산설비 A,고정자산,경영지원팀,경영지원팀_사용자4,,2020-01-19,25540000,6,불용대기,,화재보험,2027-02-23,이관리
A0073,생산설비 A,고정자산,개발팀,개발팀_사용자4,,2022-12-17,18290000,5,사용중,,배상책임보험,2027-07-18,박자산
A0074,서버랙,고정자산,경영지원팀,경영지원팀_사용자2,경영지원팀_사용자5,2022-09-26,53700000,8,사용중,,배상책임보험,2026-07-10,최지원
A0075,냉난방기,고정자산,개발팀,개발팀_사용자2,,2025-11-12,75540000,7,사용중,,화재보험,2027-07-31,김총무
A0076,서버랙,고정자산,경영지원팀,경영지원팀_사용자3,,2024-10-23,26190000,9,사용중,,화재보험,2026-08-07,이관리
A0077,서버랙,고정자산,경영지원팀,경영지원팀_사용자4,,2022-07-08,63010000,5,사용중,,화재보험,2026-08-23,김총무
A0078,공조설비,고정자산,마케팅팀,마케팅팀_사용자4,,2024-01-18,12880000,8,사용중,,화재보험,2027-05-10,박자산
A0079,생산설비 A,고정자산,개발팀,개발팀_사용자4,개발팀_사용자3,2025-11-08,26100000,5,사용중,,배상책임보험,2027-06-20,김총무
A0080,냉난방기,고정자산,영업팀,영업팀_사용자1,,2025-03-29,74920000,5,사용중,,화재보험,2027-03-12,박자산
A0081,공조설비,고정자산,영업팀,영업팀_사용자1,,2021-01-03,44490000,8,사용중,,배상책임보험,2027-07-05,이관리
A0082,냉난방기,고정자산,개발팀,개발팀_사용자4,개발팀_사용자2,2020-02-02,5780000,6,폐기완료,2026-03-06,화재보험,2027-08-01,최지원
A0083,서버랙,고정자산,경영지원팀,경영지원팀_사용자4,,2021-04-02,4290000,5,불용대기,,화재보험,2026-11-16,이관리
A0084,서버랙,고정자산,경영지원팀,경영지원팀_사용자1,,2026-03-04,51220000,8,사용중,,배상책임보험,2026-08-07,최지원
A0085,발전기,고정자산,경영지원팀,경영지원팀_사용자1,경영지원팀_사용자4,2021-11-10,62210000,5,사용중,,화재보험,2026-10-09,박자산
A0086,냉난방기,고정자산,경영지원팀,경영지원팀_사용자4,,2023-08-11,64940000,5,사용중,,화재보험,2027-04-23,박자산
A0087,냉난방기,고정자산,개발팀,개발팀_사용자1,,2020-02-15,66390000,7,사용중,,배상책임보험,2026-07-28,이관리
A0088,서버랙,고정자산,영업팀,영업팀_사용자4,,2024-10-29,33880000,8,사용중,,배상책임보험,2027-05-05,이관리
A0089,생산설비 A,고정자산,경영지원팀,경영지원팀_사용자3,,2023-08-30,17420000,8,사용중,,화재보험,2026-08-08,박자산
A0090,발전기,고정자산,마케팅팀,마케팅팀_사용자1,,2020-05-23,52480000,9,사용중,,화재보험,2026-11-13,김총무
A0091,카니발(법인),법인차량,마케팅팀,마케팅팀_사용자5,,2024-05-14,55890000,6,사용중,,자동차보험,2026-12-28,박자산
A0092,카니발(법인),법인차량,영업팀,영업팀_사용자5,,2021-02-15,54500000,6,사용중,,자동차보험,2027-01-20,최지원
A0093,카니발(법인),법인차량,개발팀,개발팀_사용자3,,2024-05-24,36770000,6,사용중,,자동차보험,2027-05-12,박자산
A0094,포터(법인),법인차량,개발팀,개발팀_사용자1,,2024-09-03,26720000,5,사용중,,자동차보험,2027-06-14,이관리
A0095,카니발(법인),법인차량,마케팅팀,마케팅팀_사용자4,,2020-07-12,25850000,6,불용대기,,자동차보험,2026-11-04,이관리
A0096,카니발(법인),법인차량,개발팀,개발팀_사용자3,,2025-03-27,49120000,5,사용중,,자동차보험,2027-04-12,이관리
A0097,스타렉스(법인),법인차량,마케팅팀,마케팅팀_사용자2,,2026-02-12,35530000,5,사용중,,자동차보험,2026-07-14,박자산
A0098,카니발(법인),법인차량,경영지원팀,경영지원팀_사용자2,,2023-02-04,22570000,5,사용중,,자동차보험,2027-03-26,최지원
A0099,포터(법인),법인차량,영업팀,영업팀_사용자1,,2022-01-24,31700000,6,사용중,,자동차보험,2026-08-26,최지원
A0100,쏘나타(법인),법인차량,마케팅팀,마케팅팀_사용자2,,2025-07-28,48720000,5,사용중,,자동차보험,2026-09-22,최지원
