구분,항목명,일자,부서/대상,예산,집행액,비고
사내행사,창립기념일 행사,2025-10-04,전사,8000000,7650000,
사내행사,전사 워크숍,2025-10-21,전사,15000000,15800000,
경조사지원,조부모상 지원금,2025-10-23,영업팀,300000,300000,화환 미포함
경조사지원,부모상 지원금,2025-10-29,경영지원팀,500000,500000,화환 포함
사내행사,연말 시상식,2025-10-31,전사,5000000,4900000,
복리후생,명함 발급,2026-01-12,영업팀,0,0,
경조사지원,결혼 지원금,2026-01-24,영업팀,500000,500000,화환 미포함
경조사지원,조부모상 지원금,2026-02-02,개발팀,300000,300000,화환 포함
복리후생,동호회 지원금,2026-02-05,경영지원팀,213830,213830,
복리후생,사원증 재발급,2026-02-12,마케팅팀,100367,100367,
경조사지원,배우자상 지원금,2026-02-24,경영지원팀,700000,700000,화환 미포함
복리후생,명함 발급,2026-02-27,개발팀,0,0,
복리후생,동호회 지원금,2026-03-03,경영지원팀,35928,35928,
복리후생,명함 발급,2026-03-05,개발팀,0,0,
사내행사,신입사원 환영회,2026-03-25,전사,1500000,1200000,
경조사지원,결혼 지원금,2026-05-01,마케팅팀,500000,500000,화환 포함
복리후생,복지포인트 사용,2026-05-01,영업팀,159291,159291,
복리후생,동호회 지원금,2026-05-07,경영지원팀,121744,121744,
복리후생,사원증 재발급,2026-05-15,마케팅팀,223043,223043,
경조사지원,배우자상 지원금,2026-05-30,개발팀,700000,700000,화환 미포함
경조사지원,결혼 지원금,2026-05-31,마케팅팀,500000,500000,화환 미포함
복리후생,동호회 지원금,2026-05-31,개발팀,272867,272867,
경조사지원,조부모상 지원금,2026-06-19,마케팅팀,300000,300000,화환 미포함
복리후생,동호회 지원금,2026-06-25,영업팀,26194,26194,
복리후생,사원증 재발급,2026-07-06,개발팀,83128,83128,
경조사지원,출산 지원금,2026-07-14,경영지원팀,300000,300000,화환 미포함
복리후생,명함 발급,2026-07-24,영업팀,0,0,
복리후생,명함 발급,2026-07-25,개발팀,0,0,
복리후생,명함 발급,2026-07-25,경영지원팀,0,0,
