계약번호,단계,순서,작업명,담당자,계획일,실제완료일,상태,결과메모
C0001,계약전,1,구매요청(PR) 등록,박계약,2024-01-08,2024-01-06,완료,
C0001,계약전,2,견적비교(RFQ),최법무,2024-01-10,2024-01-08,완료,
C0001,계약전,3,공급업체 선정,정검수,2024-01-12,2024-01-14,완료,
C0001,계약체결,1,계약서 초안 작성,최법무,2024-02-09,2024-02-07,완료,
C0001,계약체결,2,법무검토,박계약,2024-02-11,2024-02-09,완료,
C0001,계약체결,3,계약이행보증 가입확인,김구매,2024-02-13,2024-02-13,완료,가입완료
C0001,계약체결,4,선급금보증 가입확인,박계약,2024-02-15,2024-02-13,완료,미가입(확인필요)
C0001,계약체결,5,날인/계약등록,이조달,2024-02-17,2024-02-19,완료,
C0001,이행,1,발주(PO) 발행,이조달,2024-06-14,2024-06-15,완료,
C0001,이행,2,납품/검수,박계약,2024-06-16,2024-06-18,완료,
C0001,이행,3,대금지급,김구매,2024-06-18,2024-06-21,완료,
C0001,종료,1,최종정산,김구매,2024-12-15,2024-12-13,완료,
C0001,종료,2,하자보증기간 관리,김구매,2024-12-17,2024-12-19,완료,
C0001,종료,3,실적증명서 수취,정검수,2024-12-16,2024-12-16,완료,해당없음(민간발주)
C0001,종료,4,갱신여부 판단,박계약,2024-12-21,2024-12-23,완료,
C0001,종료,5,계약종료처리,이조달,2024-12-23,2024-12-21,완료,
C0002,계약전,1,구매요청(PR) 등록,정검수,2024-07-01,2024-06-29,완료,
C0002,계약전,2,견적비교(RFQ),이조달,2024-07-03,2024-07-05,완료,
C0002,계약전,3,공급업체 선정,정검수,2024-07-05,2024-07-07,완료,
C0002,계약체결,1,계약서 초안 작성,최법무,2024-08-09,2024-08-11,완료,
C0002,계약체결,2,법무검토,최법무,2024-08-11,2024-08-14,완료,
C0002,계약체결,3,계약이행보증 가입확인,최법무,2024-08-13,2024-08-11,완료,가입완료
C0002,계약체결,4,선급금보증 가입확인,김구매,2024-08-11,2024-08-11,완료,해당없음(선급금 미지급)
C0002,계약체결,5,날인/계약등록,김구매,2024-08-17,2024-08-15,완료,
C0002,이행,1,발주(PO) 발행,최법무,2024-10-27,2024-10-25,완료,
C0002,이행,2,납품/검수,김구매,2024-10-29,2024-10-30,완료,
C0002,이행,3,대금지급,최법무,2024-10-31,2024-11-01,완료,
C0002,종료,1,최종정산,이조달,2025-02-17,2025-02-16,완료,
C0002,종료,2,하자보증기간 관리,이조달,2025-02-19,2025-02-22,완료,
C0002,종료,3,실적증명서 수취,정검수,2025-02-18,2025-02-18,완료,해당없음(민간발주)
C0002,종료,4,갱신여부 판단,최법무,2025-02-23,2025-02-24,완료,
C0002,종료,5,계약종료처리,김구매,2025-02-25,2025-02-23,완료,
C0003,계약전,1,구매요청(PR) 등록,정검수,2024-04-27,2024-04-26,완료,
C0003,계약전,2,견적비교(RFQ),최법무,2024-04-29,2024-04-30,완료,
C0003,계약전,3,공급업체 선정,최법무,2024-05-01,2024-05-01,완료,
C0003,계약체결,1,계약서 초안 작성,박계약,2024-05-23,2024-05-26,완료,
C0003,계약체결,2,법무검토,박계약,2024-05-25,2024-05-24,완료,
C0003,계약체결,3,계약이행보증 가입확인,박계약,2024-05-27,2024-05-28,완료,가입완료
C0003,계약체결,4,선급금보증 가입확인,정검수,2024-05-25,2024-05-25,완료,해당없음(선급금 미지급)
C0003,계약체결,5,날인/계약등록,박계약,2024-05-31,2024-06-01,완료,
C0003,이행,1,발주(PO) 발행,이조달,2024-09-28,2024-10-01,완료,
C0003,이행,2,납품/검수,정검수,2024-09-30,2024-09-28,완료,
C0003,이행,3,대금지급,최법무,2024-10-02,2024-10-05,완료,
C0003,종료,1,최종정산,김구매,2025-04-01,2025-04-04,완료,
C0003,종료,2,하자보증기간 관리,김구매,2025-04-03,2025-04-05,완료,
C0003,종료,3,실적증명서 수취,정검수,2025-04-02,2025-04-02,완료,해당없음(민간발주)
C0003,종료,4,갱신여부 판단,박계약,2025-04-07,2025-04-06,완료,
C0003,종료,5,계약종료처리,최법무,2025-04-09,2025-04-09,완료,
C0004,계약전,1,구매요청(PR) 등록,이조달,2024-08-20,2024-08-22,완료,
C0004,계약전,2,견적비교(RFQ),정검수,2024-08-22,2024-08-21,완료,
C0004,계약전,3,공급업체 선정,김구매,2024-08-24,2024-08-24,완료,
C0004,계약체결,1,계약서 초안 작성,정검수,2024-09-04,2024-09-06,완료,
C0004,계약체결,2,법무검토,정검수,2024-09-06,2024-09-05,완료,
C0004,계약체결,3,계약이행보증 가입확인,박계약,2024-09-08,2024-09-09,완료,가입완료
C0004,계약체결,4,선급금보증 가입확인,최법무,2024-09-06,2024-09-06,완료,해당없음(선급금 미지급)
C0004,계약체결,5,날인/계약등록,박계약,2024-09-12,2024-09-11,완료,
C0004,이행,1,발주(PO) 발행,정검수,2024-12-29,2024-12-30,완료,
C0004,이행,2,납품/검수,김구매,2024-12-31,2025-01-01,완료,
C0004,이행,3,대금지급,박계약,2025-01-02,2025-01-02,완료,
C0004,종료,1,최종정산,정검수,2025-06-12,2025-06-14,완료,
C0004,종료,2,하자보증기간 관리,정검수,2025-06-14,2025-06-17,완료,
C0004,종료,3,실적증명서 수취,정검수,2025-06-16,2025-06-18,완료,수취완료
C0004,종료,4,갱신여부 판단,박계약,2025-06-18,2025-06-21,완료,
C0004,종료,5,계약종료처리,박계약,2025-06-20,2025-06-19,완료,
C0005,계약전,1,구매요청(PR) 등록,박계약,2023-12-20,2023-12-22,완료,
C0005,계약전,2,견적비교(RFQ),정검수,2023-12-22,2023-12-22,완료,
C0005,계약전,3,공급업체 선정,박계약,2023-12-24,2023-12-25,완료,
C0005,계약체결,1,계약서 초안 작성,박계약,2024-01-20,2024-01-22,완료,
C0005,계약체결,2,법무검토,김구매,2024-01-22,2024-01-24,완료,
C0005,계약체결,3,계약이행보증 가입확인,최법무,2024-01-24,2024-01-25,완료,가입완료
C0005,계약체결,4,선급금보증 가입확인,최법무,2024-01-26,2024-01-27,완료,가입완료
C0005,계약체결,5,날인/계약등록,김구매,2024-01-28,2024-01-29,완료,
C0005,이행,1,발주(PO) 발행,정검수,2024-06-11,2024-06-13,완료,
C0005,이행,2,납품/검수,이조달,2024-06-13,2024-06-11,완료,
C0005,이행,3,대금지급,이조달,2024-06-15,2024-06-14,완료,
C0005,종료,1,최종정산,정검수,2024-12-27,2024-12-26,완료,
C0005,종료,2,하자보증기간 관리,김구매,2024-12-29,2024-12-29,완료,
C0005,종료,3,실적증명서 수취,이조달,2024-12-28,2024-12-28,완료,해당없음(민간발주)
C0005,종료,4,갱신여부 판단,박계약,2025-01-02,2025-01-03,완료,
C0005,종료,5,계약종료처리,이조달,2025-01-04,2025-01-07,완료,
C0006,계약전,1,구매요청(PR) 등록,최법무,2024-09-09,2024-09-12,완료,
C0006,계약전,2,견적비교(RFQ),이조달,2024-09-11,2024-09-11,완료,
C0006,계약전,3,공급업체 선정,이조달,2024-09-13,2024-09-14,완료,
C0006,계약체결,1,계약서 초안 작성,박계약,2024-09-25,2024-09-24,완료,
C0006,계약체결,2,법무검토,최법무,2024-09-27,2024-09-29,완료,
C0006,계약체결,3,계약이행보증 가입확인,김구매,2024-09-29,2024-09-29,완료,면제(소액계약)
C0006,계약체결,4,선급금보증 가입확인,박계약,2024-09-27,2024-09-27,완료,해당없음(선급금 미지급)
C0006,계약체결,5,날인/계약등록,박계약,2024-10-03,2024-10-01,완료,
C0006,이행,1,발주(PO) 발행,박계약,2025-01-14,2025-01-16,완료,
C0006,이행,2,납품/검수,김구매,2025-01-16,2025-01-18,완료,
C0006,이행,3,대금지급,박계약,2025-01-18,2025-01-21,완료,
C0006,종료,1,최종정산,최법무,2025-06-22,2025-06-23,완료,
C0006,종료,2,하자보증기간 관리,정검수,2025-06-24,2025-06-25,완료,
C0006,종료,3,실적증명서 수취,박계약,2025-06-26,2025-06-25,완료,미수취(누락)
C0006,종료,4,갱신여부 판단,박계약,2025-06-28,2025-06-30,완료,
C0006,종료,5,계약종료처리,최법무,2025-06-30,2025-06-28,완료,
C0007,계약전,1,구매요청(PR) 등록,김구매,2025-10-04,2025-10-07,완료,
C0007,계약전,2,견적비교(RFQ),최법무,2025-10-06,2025-10-05,완료,
C0007,계약전,3,공급업체 선정,정검수,2025-10-08,2025-10-08,완료,
C0007,계약체결,1,계약서 초안 작성,이조달,2025-11-02,2025-11-05,완료,
C0007,계약체결,2,법무검토,박계약,2025-11-04,2025-11-07,완료,
C0007,계약체결,3,계약이행보증 가입확인,이조달,2025-11-06,2025-11-04,완료,가입완료
C0007,계약체결,4,선급금보증 가입확인,정검수,2025-11-04,2025-11-04,완료,해당없음(선급금 미지급)
C0007,계약체결,5,날인/계약등록,김구매,2025-11-10,2025-11-09,완료,
C0007,이행,1,발주(PO) 발행,이조달,2026-01-25,2026-01-24,완료,
C0007,이행,2,납품/검수,정검수,2026-01-27,2026-01-26,완료,
C0007,이행,3,대금지급,최법무,2026-01-29,2026-01-27,완료,
C0007,종료,1,최종정산,김구매,2026-05-24,2026-05-27,완료,
C0007,종료,2,하자보증기간 관리,박계약,2026-05-26,2026-05-25,완료,
C0007,종료,3,실적증명서 수취,이조달,2026-05-25,2026-05-25,완료,해당없음(민간발주)
C0007,종료,4,갱신여부 판단,이조달,2026-05-30,2026-05-29,완료,
C0007,종료,5,계약종료처리,최법무,2026-06-01,2026-05-30,완료,
C0008,계약전,1,구매요청(PR) 등록,박계약,2023-12-31,2023-12-31,완료,
C0008,계약전,2,견적비교(RFQ),박계약,2024-01-02,2024-01-01,완료,
C0008,계약전,3,공급업체 선정,김구매,2024-01-04,2024-01-02,완료,
C0008,계약체결,1,계약서 초안 작성,김구매,2024-01-21,2024-01-21,완료,
C0008,계약체결,2,법무검토,정검수,2024-01-23,2024-01-25,완료,
C0008,계약체결,3,계약이행보증 가입확인,이조달,2024-01-25,2024-01-27,완료,가입완료
C0008,계약체결,4,선급금보증 가입확인,김구매,2024-01-23,2024-01-23,완료,해당없음(선급금 미지급)
C0008,계약체결,5,날인/계약등록,이조달,2024-01-29,2024-02-01,완료,
C0008,이행,1,발주(PO) 발행,박계약,2024-05-16,2024-05-18,완료,
C0008,이행,2,납품/검수,박계약,2024-05-18,2024-05-20,완료,
C0008,이행,3,대금지급,박계약,2024-05-20,2024-05-18,완료,
C0008,종료,1,최종정산,이조달,2024-10-31,2024-11-02,완료,
C0008,종료,2,하자보증기간 관리,최법무,2024-11-02,2024-11-05,완료,
C0008,종료,3,실적증명서 수취,최법무,2024-11-04,2024-11-02,완료,수취완료
C0008,종료,4,갱신여부 판단,박계약,2024-11-06,2024-11-05,완료,
C0008,종료,5,계약종료처리,최법무,2024-11-08,2024-11-08,완료,
C0009,계약전,1,구매요청(PR) 등록,김구매,2024-10-08,2024-10-10,완료,
C0009,계약전,2,견적비교(RFQ),정검수,2024-10-10,2024-10-13,완료,
C0009,계약전,3,공급업체 선정,김구매,2024-10-12,2024-10-14,완료,
C0009,계약체결,1,계약서 초안 작성,김구매,2024-10-30,2024-10-28,완료,
C0009,계약체결,2,법무검토,박계약,2024-11-01,2024-11-02,완료,
C0009,계약체결,3,계약이행보증 가입확인,정검수,2024-11-03,2024-11-02,완료,가입완료
C0009,계약체결,4,선급금보증 가입확인,이조달,2024-11-01,2024-11-01,완료,해당없음(선급금 미지급)
C0009,계약체결,5,날인/계약등록,박계약,2024-11-07,2024-11-05,완료,
C0009,이행,1,발주(PO) 발행,이조달,2025-03-06,2025-03-08,완료,
C0009,이행,2,납품/검수,김구매,2025-03-08,2025-03-06,완료,
C0009,이행,3,대금지급,김구매,2025-03-10,2025-03-08,완료,
C0009,종료,1,최종정산,최법무,2025-09-08,2025-09-08,완료,
C0009,종료,2,하자보증기간 관리,정검수,2025-09-10,2025-09-12,완료,
C0009,종료,3,실적증명서 수취,정검수,2025-09-09,2025-09-09,완료,해당없음(민간발주)
C0009,종료,4,갱신여부 판단,김구매,2025-09-14,2025-09-17,완료,
C0009,종료,5,계약종료처리,이조달,2025-09-16,2025-09-18,완료,
C0010,계약전,1,구매요청(PR) 등록,김구매,2024-04-20,2024-04-23,완료,
C0010,계약전,2,견적비교(RFQ),정검수,2024-04-22,2024-04-24,완료,
C0010,계약전,3,공급업체 선정,정검수,2024-04-24,2024-04-25,완료,
C0010,계약체결,1,계약서 초안 작성,김구매,2024-05-22,2024-05-24,완료,
C0010,계약체결,2,법무검토,이조달,2024-05-24,2024-05-23,완료,
C0010,계약체결,3,계약이행보증 가입확인,정검수,2024-05-26,2024-05-29,완료,가입완료
C0010,계약체결,4,선급금보증 가입확인,김구매,2024-05-28,2024-05-30,완료,미가입(확인필요)
C0010,계약체결,5,날인/계약등록,박계약,2024-05-30,2024-05-30,완료,
C0010,이행,1,발주(PO) 발행,이조달,2024-09-10,2024-09-08,완료,
C0010,이행,2,납품/검수,박계약,2024-09-12,2024-09-11,완료,
C0010,이행,3,대금지급,김구매,2024-09-14,2024-09-14,완료,
C0010,종료,1,최종정산,이조달,2025-02-17,2025-02-15,완료,
C0010,종료,2,하자보증기간 관리,이조달,2025-02-19,2025-02-19,완료,
C0010,종료,3,실적증명서 수취,정검수,2025-02-18,2025-02-18,완료,해당없음(민간발주)
C0010,종료,4,갱신여부 판단,김구매,2025-02-23,2025-02-24,완료,
C0010,종료,5,계약종료처리,정검수,2025-02-25,2025-02-24,완료,
C0011,계약전,1,구매요청(PR) 등록,박계약,2025-03-19,2025-03-19,완료,
C0011,계약전,2,견적비교(RFQ),최법무,2025-03-21,2025-03-20,완료,
C0011,계약전,3,공급업체 선정,이조달,2025-03-23,2025-03-24,완료,
C0011,계약체결,1,계약서 초안 작성,김구매,2025-03-31,2025-04-03,완료,
C0011,계약체결,2,법무검토,최법무,2025-04-02,2025-04-04,완료,
C0011,계약체결,3,계약이행보증 가입확인,정검수,2025-04-04,2025-04-04,완료,가입완료
C0011,계약체결,4,선급금보증 가입확인,김구매,2025-04-02,2025-04-02,완료,해당없음(선급금 미지급)
C0011,계약체결,5,날인/계약등록,김구매,2025-04-08,2025-04-06,완료,
C0011,이행,1,발주(PO) 발행,정검수,2025-08-07,2025-08-05,완료,
C0011,이행,2,납품/검수,박계약,2025-08-09,2025-08-09,완료,
C0011,이행,3,대금지급,박계약,2025-08-11,2025-08-12,완료,
C0011,종료,1,최종정산,김구매,2026-02-03,2026-02-03,완료,
C0011,종료,2,하자보증기간 관리,박계약,2026-02-05,2026-02-03,완료,
C0011,종료,3,실적증명서 수취,이조달,2026-02-04,2026-02-04,완료,해당없음(민간발주)
C0011,종료,4,갱신여부 판단,정검수,2026-02-09,2026-02-11,완료,
C0011,종료,5,계약종료처리,정검수,2026-02-11,2026-02-13,완료,
C0012,계약전,1,구매요청(PR) 등록,이조달,2024-10-16,2024-10-16,완료,
C0012,계약전,2,견적비교(RFQ),이조달,2024-10-18,2024-10-20,완료,
C0012,계약전,3,공급업체 선정,김구매,2024-10-20,2024-10-19,완료,
C0012,계약체결,1,계약서 초안 작성,최법무,2024-11-18,2024-11-17,완료,
C0012,계약체결,2,법무검토,정검수,2024-11-20,2024-11-20,완료,
C0012,계약체결,3,계약이행보증 가입확인,최법무,2024-11-22,2024-11-25,완료,가입완료
C0012,계약체결,4,선급금보증 가입확인,김구매,2024-11-24,2024-11-27,완료,가입완료
C0012,계약체결,5,날인/계약등록,김구매,2024-11-26,2024-11-28,완료,
