계약번호,거래처,계약구분,시작일,종료일,계약금액,담당자
C-2026-001,㈜한빛시스템,용역,2025-10-09,2026-11-14,78000000,이도현
C-2026-002,그린오피스,구매,2025-09-21,2027-09-20,23000000,김지원
C-2026-003,스마트클린,유지보수,2026-06-10,2028-02-27,50000000,박서연
C-2026-004,다올법무법인,임대,2025-04-21,2026-06-14,70000000,김지원
C-2026-005,넷옵스클라우드,용역,2026-03-17,2028-02-07,55000000,김지원
C-2026-006,위드보안,구매,2025-10-25,2026-10-24,35000000,박서연
C-2026-007,청우물류,유지보수,2025-02-26,2025-10-22,39000000,박서연
C-2026-008,우리HR솔루션,임대,2025-07-03,2027-04-28,111000000,박서연
C-2026-009,브라이트마케팅,용역,2025-07-03,2026-01-11,75000000,김지원
C-2026-010,세이프티설비,구매,2026-05-11,2027-11-11,23000000,박서연
