구분,일자,항목명,담당자,상태,비고
우편수신,2026-03-03,택배(사무용품) 수신,박총무,처리완료,
청소미화점검,2026-03-04,1층 로비 정기점검,이관리,완료,
택배수신,2026-03-06,관공서 공문 수신,박총무,처리중,
청소미화점검,2026-03-07,1층 로비 정기점검,이관리,완료,
청소미화점검,2026-03-11,2층 사무공간 정기점검,이관리,재점검필요,청소상태 미흡 - 용역업체 재요청
우편발신,2026-03-11,본사 계약서 원본 발송,박총무,처리완료,
택배수신,2026-03-16,본사 계약서 원본 발송,최지원,처리완료,
청소미화점검,2026-03-22,1층 로비 정기점검,김총무,재점검필요,청소상태 미흡 - 용역업체 재요청
청소미화점검,2026-03-23,2층 사무공간 정기점검,이관리,완료,
청소미화점검,2026-03-23,지하 주차장 정기점검,이관리,재점검필요,청소상태 미흡 - 용역업체 재요청
택배수신,2026-03-25,관공서 공문 수신,최지원,처리완료,
택배수신,2026-03-25,우체국 등기 수신,최지원,처리중,
우편발신,2026-03-30,택배(사무용품) 수신,박총무,처리완료,
청소미화점검,2026-03-30,3층 사무공간 정기점검,김총무,완료,
청소미화점검,2026-04-01,3층 사무공간 정기점검,이관리,완료,
청소미화점검,2026-04-07,2층 사무공간 정기점검,김총무,완료,
택배수신,2026-04-11,OO구청 인허가서류 발송,최지원,처리완료,
청소미화점검,2026-04-14,1층 로비 정기점검,이관리,완료,
청소미화점검,2026-04-20,1층 로비 정기점검,김총무,완료,
우편발신,2026-04-21,우체국 등기 수신,최지원,처리완료,
청소미화점검,2026-04-22,4층 회의실 정기점검,김총무,재점검필요,청소상태 미흡 - 용역업체 재요청
우편수신,2026-04-24,거래처 세금계산서 발송,박총무,처리완료,
우편발신,2026-04-24,OO구청 인허가서류 발송,박총무,처리완료,
우편수신,2026-05-03,우체국 등기 수신,최지원,처리완료,
택배수신,2026-05-07,본사 계약서 원본 발송,박총무,처리완료,
청소미화점검,2026-05-09,1층 로비 정기점검,김총무,완료,
우편발신,2026-05-12,거래처 세금계산서 발송,박총무,처리완료,
청소미화점검,2026-05-12,1층 로비 정기점검,이관리,완료,
청소미화점검,2026-05-13,지하 주차장 정기점검,이관리,완료,
청소미화점검,2026-05-13,지하 주차장 정기점검,김총무,완료,
청소미화점검,2026-05-13,지하 주차장 정기점검,김총무,완료,
청소미화점검,2026-05-16,탕비실 정기점검,이관리,완료,
청소미화점검,2026-05-17,2층 사무공간 정기점검,이관리,완료,
우편발신,2026-05-17,관공서 공문 수신,박총무,처리완료,
청소미화점검,2026-05-18,4층 회의실 정기점검,이관리,재점검필요,청소상태 미흡 - 용역업체 재요청
택배수신,2026-05-23,OO구청 인허가서류 발송,최지원,처리중,
청소미화점검,2026-05-27,4층 회의실 정기점검,김총무,완료,
청소미화점검,2026-05-29,2층 사무공간 정기점검,김총무,완료,
우편발신,2026-05-31,택배(사무용품) 수신,최지원,처리중,
우편수신,2026-06-01,본사 계약서 원본 발송,최지원,처리중,
청소미화점검,2026-06-06,탕비실 정기점검,김총무,완료,
우편수신,2026-06-06,본사 계약서 원본 발송,박총무,처리완료,
청소미화점검,2026-06-08,지하 주차장 정기점검,김총무,완료,
우편수신,2026-06-09,거래처 세금계산서 발송,최지원,처리중,
우편발신,2026-06-12,관공서 공문 수신,박총무,처리완료,
청소미화점검,2026-06-13,4층 회의실 정기점검,김총무,완료,
청소미화점검,2026-06-13,탕비실 정기점검,이관리,완료,
청소미화점검,2026-06-14,2층 사무공간 정기점검,김총무,완료,
청소미화점검,2026-06-15,4층 회의실 정기점검,이관리,완료,
청소미화점검,2026-06-16,2층 사무공간 정기점검,김총무,완료,
우편발신,2026-06-19,거래처 세금계산서 발송,최지원,처리완료,
청소미화점검,2026-06-19,지하 주차장 정기점검,이관리,완료,
청소미화점검,2026-06-21,지하 주차장 정기점검,이관리,완료,
택배수신,2026-06-27,관공서 공문 수신,최지원,처리중,
택배수신,2026-06-28,관공서 공문 수신,최지원,처리중,
청소미화점검,2026-06-28,지하 주차장 정기점검,김총무,완료,
택배수신,2026-06-28,관공서 공문 수신,박총무,처리완료,
청소미화점검,2026-06-29,4층 회의실 정기점검,김총무,완료,
청소미화점검,2026-07-01,탕비실 정기점검,이관리,완료,
우편수신,2026-07-01,관공서 공문 수신,최지원,처리중,
청소미화점검,2026-07-02,3층 사무공간 정기점검,김총무,완료,
청소미화점검,2026-07-02,탕비실 정기점검,김총무,완료,
청소미화점검,2026-07-05,2층 사무공간 정기점검,이관리,완료,
청소미화점검,2026-07-06,3층 사무공간 정기점검,김총무,완료,
청소미화점검,2026-07-06,탕비실 정기점검,이관리,완료,
청소미화점검,2026-07-12,2층 사무공간 정기점검,김총무,완료,
청소미화점검,2026-07-15,1층 로비 정기점검,이관리,완료,
청소미화점검,2026-07-15,지하 주차장 정기점검,이관리,재점검필요,청소상태 미흡 - 용역업체 재요청
우편수신,2026-07-21,관공서 공문 수신,최지원,처리완료,
택배수신,2026-07-25,택배(사무용품) 수신,최지원,처리중,
우편발신,2026-07-25,관공서 공문 수신,박총무,처리완료,
청소미화점검,2026-07-27,2층 사무공간 정기점검,김총무,완료,
청소미화점검,2026-07-27,탕비실 정기점검,김총무,완료,
청소미화점검,2026-07-28,4층 회의실 정기점검,김총무,완료,
우편수신,2026-07-29,거래처 세금계산서 발송,박총무,처리완료,
